Age,MonthlyIncome,TotalWorkingYears,YearsAtCompany,JobLevel,Education
27,2187,6,5,1,4
37,9602,17,3,2,3
20,2836,1,1,1,3
42,4089,10,10,2,4
43,16627,21,1,4,4
38,2619,8,0,1,1
43,5679,10,8,2,5
48,15402,21,3,4,4
44,5985,10,2,2,4
34,2579,8,8,1,3
27,3041,5,4,1,1
21,3447,3,3,1,1
44,19513,26,2,5,4
22,2773,3,2,1,1
33,7104,6,5,2,4
32,6322,6,6,2,4
30,2083,1,1,1,3
53,8381,18,14,2,1
34,2691,10,10,1,5
45,4286,5,1,2,4
26,2659,3,3,1,3
37,9434,10,10,3,3
29,5561,6,6,2,2
35,6646,17,17,2,4
33,7725,15,13,2,3
54,10725,16,9,3,4
36,8847,13,3,2,2
27,2045,5,4,1,4
20,1009,1,1,1,1
33,3348,10,10,1,3
35,1281,1,1,1,3
23,2819,5,3,1,3
25,4851,4,3,2,3
38,4028,8,7,2,4
29,2720,10,10,1,4
48,8120,12,2,2,1
27,4647,6,6,2,1
37,4680,4,1,1,2
50,3221,20,20,1,1
34,8621,9,8,3,3
24,4577,4,2,2,2
39,4553,20,20,2,4
32,5396,10,10,2,3
50,6796,18,4,2,2
38,7625,10,9,2,4
27,7412,9,9,3,2
32,11159,10,7,3,2
47,4960,20,7,2,4
40,10475,20,18,3,4
53,14814,32,5,4,3
41,19141,23,21,5,4
60,5405,10,2,2,4
27,8793,9,9,3,2
41,19189,22,22,5,3
50,3875,4,2,1,4
28,2216,10,7,1,2
36,11713,10,8,3,3
38,7861,10,1,3,3
44,3708,9,5,1,3
47,13770,28,22,4,3
30,5304,10,8,2,5
29,2642,1,1,1,3
42,2759,7,2,1,3
43,6804,7,2,2,3
34,6142,10,5,2,2
23,2500,5,4,1,1
39,6389,12,8,2,3
56,11103,30,10,4,3
40,2342,5,4,1,1
27,6811,9,7,2,3
29,2297,2,2,1,3
53,2450,19,2,2,3
35,5093,16,1,2,4
32,5309,10,10,2,4
38,3057,6,1,1,5
34,5121,7,0,2,5
52,16856,34,34,4,4
33,2686,10,10,1,4
25,6180,6,6,2,1
45,6632,9,8,2,2
23,3505,2,2,1,1
47,6397,8,5,2,2
34,6274,6,6,2,3
55,19859,24,5,5,3
36,7587,10,10,3,4
52,4258,5,4,1,4
26,4364,5,2,1,2
29,4335,11,8,2,3
26,5326,6,4,2,3
34,3280,10,4,1,4
54,5485,9,5,2,4
27,4342,5,4,2,1
37,2782,6,5,1,1
38,5980,17,15,2,4
34,4381,6,6,1,4
35,2572,3,3,1,4
30,3833,7,2,1,3
40,4244,8,8,2,2
34,6500,6,3,2,2
42,18430,24,24,5,3
23,1601,1,0,1,3
24,2694,1,1,1,3
52,3149,9,5,2,4
50,17639,30,4,4,3
29,2319,1,1,1,2
33,11691,14,13,3,3
33,5324,6,3,2,3
47,16752,26,26,4,2
36,5228,10,9,2,3
29,2700,10,10,1,2
58,19246,40,31,5,4
35,2506,7,2,1,4
42,6062,8,4,2,2
28,4382,5,2,1,4
36,2143,8,5,1,3
32,6162,14,14,2,3
40,5094,10,1,2,4
30,6877,12,0,2,3
45,2274,1,1,1,3
42,4434,10,9,2,3
38,6288,13,4,2,3
34,2553,6,5,1,4
49,7654,9,9,3,3
55,5160,12,9,2,1
43,17159,22,4,4,2
27,12808,9,9,3,1
35,10221,17,8,3,3
28,4779,8,8,2,4
34,3737,4,3,1,2
26,2366,8,8,1,2
27,1706,0,0,1,3
51,16307,29,20,4,4
44,5933,10,5,2,3
25,3424,6,4,1,1
33,4037,9,9,2,3
35,2559,6,6,1,1
36,6201,18,18,2,2
32,4403,8,5,2,4
30,3761,10,5,1,4
53,10934,35,5,3,2
45,10761,18,5,3,3
32,5175,9,5,2,2
52,13826,31,9,4,4
37,6334,9,1,2,4
28,4936,6,5,1,2
22,4775,4,2,2,2
44,2818,10,3,1,4
42,2515,8,2,1,1
36,2342,6,5,1,3
25,4194,5,5,2,1
35,10685,17,17,3,3
35,2022,10,10,1,4
32,2314,4,3,1,3
25,4256,5,5,2,1
49,3580,7,4,1,3
24,3162,6,5,1,1
32,6524,10,10,2,2
38,2899,3,2,1,3
42,5231,17,5,2,3
31,2356,8,6,1,4
29,2800,5,3,1,3
53,11836,28,2,4,3
35,10903,16,13,3,3
37,2973,10,5,1,2
53,14275,33,12,4,4
43,5562,12,5,2,3
47,4537,8,7,2,2
37,7642,10,10,3,2
50,17924,31,31,4,4
39,5204,13,5,2,3
33,2277,7,4,1,2
32,2795,1,1,1,4
29,2532,8,4,1,1
44,2559,8,8,1,2
28,4908,4,4,2,4
58,2380,3,1,1,1
43,4765,4,1,2,3
20,2044,2,2,1,3
21,2693,1,1,1,1
36,6586,17,16,2,1
47,3294,3,3,1,4
22,4171,4,3,2,1
41,2778,10,7,1,4
28,2377,6,2,1,3
39,2404,8,2,1,3
27,2318,1,1,1,3
34,2008,1,1,1,3
42,6244,10,5,2,2
33,2799,6,3,1,4
58,10552,24,6,3,3
31,2329,13,7,1,4
35,4014,10,10,2,1
49,7403,29,26,3,2
48,2259,13,0,1,4
31,6932,9,9,2,2
36,4678,8,6,1,4
38,13582,15,15,3,3
32,2332,5,3,1,3
25,2413,1,1,1,2
40,9705,11,1,3,4
26,4294,7,7,2,3
41,4721,20,18,1,3
36,2519,16,11,1,4
19,2121,1,1,1,3
20,2973,1,1,1,3
31,5855,10,9,2,3
40,3617,3,1,1,4
32,6725,8,8,2,4
36,10325,16,16,3,1
33,6949,6,5,2,3
37,10609,17,14,3,4
45,4447,9,9,2,2
29,2157,3,3,1,3
35,4601,5,5,2,3
52,17099,26,9,4,2
58,2479,7,1,1,3
53,14852,22,17,4,2
30,7264,10,8,3,2
38,5666,6,5,2,3
35,7823,12,10,3,4
39,7880,9,8,3,5
40,13194,22,1,4,3
47,5067,20,19,2,4
36,5079,12,7,2,4
31,2321,4,3,1,2
33,17444,10,10,4,3
29,2404,3,0,1,3
33,3452,5,3,1,1
45,2270,8,5,1,4
50,17399,32,5,4,2
33,5488,6,6,2,4
41,19419,21,18,5,3
27,2811,4,2,1,4
45,3633,9,9,2,2
47,4163,9,9,2,2
30,2132,7,5,1,3
50,13973,22,12,4,3
38,2684,3,2,1,1
46,10845,13,8,3,2
24,4377,5,4,2,1
35,3743,5,4,1,4
31,4148,4,4,2,1
18,1051,0,0,1,2
54,10739,22,10,3,3
35,10388,16,16,3,4
30,11416,9,8,3,2
20,2600,1,1,1,3
30,2422,4,3,1,3
26,5472,8,8,2,2
22,2451,4,4,1,1
48,4240,19,2,2,3
48,10999,27,15,3,4
41,5003,8,2,2,2
39,12742,21,21,4,1
27,4227,4,3,2,4
35,3917,3,3,1,3
42,18303,21,1,5,2
50,2380,8,1,1,3
59,13726,30,5,4,3
37,4777,15,1,2,2
55,6385,17,8,2,4
41,19973,21,21,5,1
38,6861,19,1,2,4
26,4969,7,2,2,2
52,19845,33,32,5,1
44,13320,23,12,4,3
50,6347,19,18,2,3
36,2743,18,17,1,4
39,10880,21,21,3,3
33,2342,3,2,1,1
45,17650,26,9,4,2
32,4025,10,8,1,4
34,9725,16,15,2,4
59,11904,14,6,3,2
45,2177,6,6,1,4
53,7525,30,15,3,3
36,4834,9,1,2,3
26,2042,6,3,1,3
34,2220,1,1,1,4
28,1052,1,1,1,1
38,2821,8,2,1,4
50,19237,29,8,5,4
37,4107,8,4,2,3
40,8396,8,7,2,3
26,2007,5,5,1,1
46,19627,23,2,5,4
54,10686,13,9,3,4
56,2942,18,5,1,3
36,8858,15,14,3,5
55,16756,31,9,4,1
43,10798,18,1,3,3
20,2323,2,2,1,3
21,1416,1,1,1,3
46,4615,19,16,2,4
51,2461,18,10,1,4
28,8722,10,10,3,2
26,3955,6,5,1,2
30,9957,7,6,2,3
41,3376,10,10,1,2
38,8823,20,19,3,1
40,10322,14,11,3,4
27,4621,3,3,1,5
55,10976,23,3,3,1
28,3660,10,8,2,3
44,10482,24,20,3,2
33,7119,9,3,3,3
35,9582,9,8,3,3
33,4508,14,13,2,4
28,2207,4,4,1,2
34,7756,7,6,2,1
37,6694,8,1,2,4
25,3691,7,7,1,1
26,2377,1,1,1,3
33,2313,5,2,1,3
42,17665,23,22,4,2
28,2596,1,1,1,3
50,4728,5,0,2,4
33,4302,4,3,2,3
34,2979,6,0,1,4
48,16885,27,5,4,4
45,5593,15,15,2,4
52,10445,18,8,3,4
38,8740,9,8,3,4
29,2514,11,7,1,4
28,7655,10,9,3,3
46,17465,23,12,4,1
38,7351,10,1,3,2
43,10820,18,8,3,3
39,12169,21,18,4,3
40,19626,21,20,5,3
21,2070,2,2,1,1
39,6782,9,5,2,3
36,7779,18,11,2,4
31,2791,3,2,1,3
28,3201,6,5,1,1
35,4968,5,5,2,2
49,13120,22,9,4,4
34,4033,5,3,2,2
29,3291,8,7,1,3
42,4272,16,1,2,3
29,5056,10,10,2,1
38,2844,7,7,1,3
28,2703,3,3,1,3
18,1904,0,0,1,1
33,8224,6,5,2,4
41,4766,6,1,1,4
31,2610,2,2,1,3
37,5731,9,6,2,2
27,2539,4,4,1,3
34,5714,6,6,2,1
35,4323,6,5,1,4
29,7336,11,11,3,1
40,13499,20,18,3,4
42,13758,22,21,4,3
42,5155,9,6,2,4
35,2258,10,8,1,4
24,3597,6,4,1,3
28,2515,1,1,1,1
26,4420,8,8,1,4
30,6578,10,10,2,3
40,4422,16,1,2,2
35,10274,15,7,3,3
34,5343,14,13,2,3
35,2376,2,2,1,4
43,5346,7,4,2,3
32,2827,1,1,1,1
56,19943,28,5,5,4
29,3131,10,10,1,1
19,2552,1,1,1,2
45,4477,7,3,1,3
37,6474,14,14,2,3
20,3033,2,2,1,3
44,2936,6,6,1,4
53,18606,26,7,5,2
29,2168,6,5,1,1
22,2853,1,0,1,4
46,17048,28,26,4,3
44,2290,6,0,1,3
33,3600,5,5,1,3
41,2107,5,1,1,2
30,4115,8,4,2,4
40,4327,5,0,2,4
50,17856,32,2,4,3
28,3196,6,6,1,4
46,19081,25,4,5,2
35,8966,15,7,2,4
24,2210,1,1,1,2
33,4539,10,10,2,3
36,2741,7,7,1,4
30,3491,10,10,2,4
44,4541,20,20,2,4
20,2678,2,2,1,3
46,7379,12,6,2,4
42,6272,10,4,2,5
60,5220,12,11,2,4
32,2743,2,2,1,3
32,4998,10,8,2,2
36,10252,17,7,3,3
33,2781,15,14,1,3
40,6852,7,5,2,3
25,4950,5,4,2,4
30,3579,12,11,1,3
42,13191,20,1,3,5
35,10377,16,13,3,2
27,2235,9,9,1,3
54,10502,33,5,3,4
44,2011,10,10,1,1
19,1859,1,1,1,3
29,3760,3,3,1,3
54,17779,36,10,4,3
31,6833,6,6,2,2
31,6812,10,10,2,3
59,5171,13,6,2,3
43,19740,25,8,5,3
49,18711,23,1,5,2
36,3692,12,11,1,3
48,2559,7,1,1,2
27,2517,5,5,1,2
29,6623,6,6,2,3
48,18265,25,1,5,3
29,16124,9,7,4,3
34,2585,2,1,1,3
44,18213,26,22,5,3
33,8380,10,9,3,5
19,2994,1,1,1,3
23,1223,1,1,1,2
25,1118,1,1,1,1
26,2875,8,8,1,2
45,18824,26,24,5,3
55,13577,34,33,4,1
21,2625,2,2,1,2
46,18789,26,11,5,2
34,4538,4,3,2,3
51,19847,31,29,5,3
59,10512,25,9,3,4
34,4444,15,11,2,3
28,2154,5,4,1,4
44,19190,26,25,5,2
34,4490,14,10,2,3
35,3506,4,3,1,1
42,2372,18,1,2,4
43,10231,23,21,3,4
36,5410,18,16,2,4
44,7978,10,10,3,3
28,3867,2,2,1,3
51,2838,8,7,1,2
30,4695,10,8,2,2
29,3339,10,7,1,3
28,2080,5,3,1,3
25,2096,2,2,1,3
32,6209,10,10,2,3
45,18061,22,0,5,3
39,17123,21,19,4,4
58,2372,2,2,1,4
32,4883,10,10,2,2
39,3904,6,5,1,3
30,4627,10,9,2,3
36,7094,10,7,3,4
46,3423,10,7,1,2
28,6674,10,9,2,3
50,16880,25,3,4,3
40,9094,9,5,3,4
52,8446,10,8,3,3
30,11916,9,9,3,4
39,4534,9,8,2,2
31,9852,10,10,3,4
41,6151,19,19,2,2
31,2302,3,3,1,3
44,2362,10,3,1,3
42,17861,21,20,4,1
55,19187,23,19,5,2
56,19717,36,7,5,4
40,3544,6,4,1,2
34,8500,10,9,3,3
40,4661,9,9,2,3
41,4103,10,9,2,3
35,4249,9,9,2,4
51,14026,33,33,4,3
38,6893,11,7,2,2
34,6125,10,10,2,2
25,3669,7,3,1,1
58,10008,31,10,3,4
40,2387,7,4,1,4
36,4639,17,15,2,3
48,7898,11,10,3,3
27,2534,5,1,1,3
51,13142,29,5,4,2
18,1611,0,0,1,3
35,5363,10,9,2,3
27,5071,8,6,2,1
55,13695,24,19,4,4
56,13402,33,19,4,3
34,2029,5,5,1,1
40,6377,15,12,2,1
34,5429,10,8,2,3
31,2785,3,1,1,3
35,4614,5,4,2,4
38,2610,4,4,1,3
34,6687,14,14,2,4
28,4724,5,5,2,3
31,6179,10,10,2,4
39,6120,8,5,2,4
51,10596,14,4,3,3
41,5467,12,6,2,3
37,2996,8,6,1,1
33,9998,8,5,2,1
32,4078,4,3,2,1
39,10920,13,6,3,2
25,6232,6,3,2,1
52,13247,24,5,4,2
43,4081,20,20,2,3
27,5769,6,6,2,3
27,2394,8,8,1,4
26,3904,5,4,1,1
42,16799,21,20,4,3
52,2950,12,5,1,4
37,3629,8,3,1,3
35,9362,10,2,3,2
25,3229,7,3,1,3
26,3578,8,7,1,3
29,7988,10,10,3,3
49,4284,20,4,2,2
29,7553,9,8,3,1
54,17328,29,20,4,3
58,19701,32,9,5,3
55,14732,31,7,4,4
36,9278,15,5,2,4
31,1359,1,1,1,4
30,4779,8,3,2,4
31,16422,9,3,4,5
34,2996,10,4,1,4
31,1261,1,1,1,3
27,2099,6,5,1,1
36,5810,10,10,2,4
36,5647,11,3,2,4
47,3420,17,6,1,3
25,4400,6,3,1,2
37,3500,7,6,1,2
56,2066,5,3,1,2
47,17169,26,20,4,4
24,4162,5,5,2,1
32,9204,7,4,2,5
34,3294,7,5,1,3
41,2127,7,4,1,5
40,3975,11,8,2,4
31,10793,13,13,3,2
46,10096,28,7,3,3
39,3646,11,1,1,3
31,7446,10,10,3,5
45,10851,24,7,3,3
31,2109,8,3,1,2
31,3722,7,2,1,3
45,9380,10,3,3,3
48,5486,15,2,2,3
34,2742,2,2,1,4
40,13757,16,9,3,1
28,8463,6,5,2,3
44,3162,7,5,1,3
53,16598,35,9,4,3
49,6651,20,3,2,4
40,2345,8,3,1,3
44,3420,6,5,1,3
33,4373,5,4,2,3
34,4759,15,13,2,3
30,5301,4,2,2,1
42,3673,12,12,1,2
44,4768,11,1,2,5
30,1274,1,1,1,3
57,4900,13,12,2,2
49,10466,29,8,3,4
34,17007,16,14,4,3
28,2909,5,3,1,3
29,5765,7,5,2,3
34,4599,16,15,2,4
35,2404,1,1,1,1
24,3172,4,0,1,3
24,2033,1,1,1,2
44,10209,16,2,3,1
29,8620,10,10,2,3
30,2064,6,5,1,3
55,4035,4,3,2,4
33,3838,8,5,1,4
47,4591,11,5,2,3
28,2561,8,0,1,2
28,1563,1,1,1,3
